# Résultats PageRank - 1912712432 itérations, convergence: 0.000000
# Type ID Score_PageRank
USER 249 0.01230883
USER 83 0.01142330
USER 7 0.01228156
USER 64 0.01001142
USER 101 0.01046721
USER 102 0.00206808
USER 103 0.00997591
USER 104 0.01045286
USER 10 0.01136051
USER 17 0.01180865
USER 89 0.01184219
USER 567 0.01227962
USER 123 0.01324196
USER 5 0.01186559
USER 67 0.01324947
USER 98 0.01134742
USER 400 0.01135562
USER 12 0.01319280
USER 90 0.01004887
USER 65 0.01045713
USER 24 0.01137306
USER 350 0.00706766
USER 301 0.00984085
USER 500 0.00753238
USER 318 0.01155581
USER 312 0.00794859
USER 411 0.00981528
USER 401 0.00925112
USER 501 0.01073029
USER 503 0.00936785
USER 321 0.00984045
USER 302 0.00892131
USER 205 0.01109212
USER 409 0.01025081
USER 306 0.00888823
USER 502 0.00837571
USER 307 0.00654261
USER 402 0.00752035
USER 504 0.00662369
USER 204 0.00799571
USER 354 0.01148618
USER 410 0.00837300
USER 450 0.01062094
USER 408 0.00711423
USER 420 0.00977380
USER 322 0.00974505
USER 305 0.00884185
USER 451 0.00835547
USER 403 0.01063006
USER 209 0.00948507
USER 415 0.00793786
ARTICLE 1087 0.01424212
ARTICLE 1134 0.01702488
ARTICLE 1231 0.01611159
ARTICLE 1042 0.01602300
ARTICLE 1088 0.01512393
ARTICLE 1135 0.01981265
ARTICLE 1232 0.01608027
ARTICLE 1043 0.01625342
ARTICLE 1564 0.01612149
ARTICLE 1897 0.01461501
ARTICLE 1356 0.01711813
ARTICLE 1110 0.01656793
ARTICLE 1450 0.01519664
ARTICLE 1550 0.01080018
ARTICLE 1200 0.01204238
ARTICLE 1225 0.01055961
ARTICLE 1580 0.00986434
ARTICLE 1640 0.01097116
ARTICLE 1300 0.01177442
ARTICLE 1620 0.00950650
ARTICLE 1600 0.01090455
ARTICLE 1630 0.01094932
ARTICLE 1400 0.01075469
ARTICLE 1325 0.01082875
ARTICLE 1650 0.01076519
ARTICLE 1420 0.01120536
ARTICLE 1520 0.00945086
ARTICLE 1150 0.01030868
ARTICLE 1380 0.01069727
ARTICLE 1440 0.01010240
ARTICLE 1610 0.01275896
ARTICLE 1340 0.01040462
ARTICLE 1360 0.00979685
ARTICLE 1175 0.01076618
ARTICLE 1460 0.00814022
ARTICLE 1480 0.00994045
ARTICLE 1540 0.00892510
ARTICLE 1570 0.00940017
ARTICLE 1590 0.01039233
ARTICLE 1500 0.00942148
ARTICLE 1205 0.00219619
ARTICLE 1310 0.00214438
